lambda,n_targets,algorithm,collision_buffer,seed,greedy_priority,greedy_assignments,greedy_time,cp_priority,cp_assignments,cp_solver_time,cp_total_time
0.0001,41,both,50.0,42,71,23,0.034790754318237305,119,41,3.341984,3.502401113510132
0.000575,219,both,50.0,42,315,104,0.18314409255981445,652,219,7.580117,8.488503217697144
0.00105,395,both,50.0,42,552,190,0.3273921012878418,1147,395,13.035341,14.814656019210815
0.001525,569,both,50.0,42,791,260,0.4912078380584717,1586,500,30.589583,33.4470579624176
0.002,743,both,50.0,42,915,294,0.6752235889434814,1601,500,30.658898,34.3001971244812
